"colname","colname_long","type","start","stop","n_missing","n_unique","comments","c_candidate_pred","c_candidate_strat","c_nonanalytic","c_donotmap","c_missingmap"
"RX_HOSP_SURG_APPR_2010","Surgical Approach at this Facility","byte",272,272,0,0,,,,,,
"RX_SUMM_SURGICAL_MARGINS","Surgical Margins Status at any CoC Facility","byte",273,273,0,0,,,,,,
"RX_SUMM_SCOPE_REG_LN_SUR","Regional Lymph Node Surgery at any CoC Facility","byte",274,274,0,0,,,,,,
"RX_SUMM_SURG_OTH_REGDIS","Surgery Other Site at any CoC Facility","byte",275,275,0,0,,,,,,
"SURG_DISCHARGE_DAYS","Surgical Inpatient Stay, Days from Surgery","long",276,283,0,0,,,,,,
"READM_HOSP_30_DAYS","Readmission Within 30 Days of Surgical Discharge","byte",284,284,0,0,,,,,,
"REASON_FOR_NO_SURGERY","Reason For No Surgery","byte",285,285,0,0,,,,"TRUE",,
"DX_RAD_STARTED_DAYS","Radiation, Days for Dx","long",286,293,0,0,,,,,,
"RX_SUMM_RADIATION","Radiation Therapy at any CoC Facility","byte",294,294,0,0,,,,,,
"RAD_LOCATION_OF_RX","Location of Radiation Therapy","byte",295,295,0,0,,,,,,
"RAD_TREAT_VOL","Radiation Treatment Volume","byte",296,297,0,0,,,,,,
"RAD_REGIONAL_RX_MODALITY","Regional Treatment Modality","byte",298,299,0,0,,,,,,
"RAD_REGIONAL_DOSE_CGY","Regional Dose","long",300,304,0,0,,,,,"TRUE",
"RAD_BOOST_RX_MODALITY","Boost Treatment Modality","byte",305,306,0,0,,,,,,
"RAD_BOOST_DOSE_CGY","Boost Dose","long",307,311,0,0,,,,,,
"RAD_NUM_TREAT_VOL","Number of Treatments to this Volume","int",312,314,0,0,,,,,"TRUE",
"RX_SUMM_SURGRAD_SEQ","Radiation Surgery Sequence at any CoC Facility","byte",315,315,0,0,,,,,,
"RAD_ELAPSED_RX_DAYS","Radiation Ended, Days from Start of Radiation","int",316,318,0,0,,,,"TRUE",,
"REASON_FOR_NO_RADIATION","Reason For No Radiation","byte",319,319,0,0,,,,,,
"DX_SYSTEMIC_STARTED_DAYS","Systemic, Days from Dx","long",320,327,0,0,,,,,,
"DX_CHEMO_STARTED_DAYS","Chemotherapy, Days from Dx","long",328,335,0,0,,,,,,
"RX_SUMM_CHEMO","Chemotherapy at any Facility","byte",336,337,0,0,,,,,,
"DX_HORMONE_STARTED_DAYS","Hormone Therapy, Days from Dx","long",338,345,0,0,,,,,,
"RX_SUMM_HORMONE","Hormone Therapy at any CoC Facility","byte",346,347,0,0,,,,,,
"DX_IMMUNO_STARTED_DAYS","Immunotherapy, Days from Dx","long",348,355,0,0,,,,,,
"RX_SUMM_IMMUNOTHERAPY","Immunotherapy at any CoC Facility","byte",356,357,0,0,,,,,,
"RX_SUMM_TRNSPLNT_ENDO","Hematologic Transplant and Endocrine Procedures at any CoC Facility","byte",358,359,0,0,,,,,,
"RX_SUMM_SYSTEMIC_SUR_SEQ","Systemic/Surgery Sequence","byte",360,360,0,0,,,,,,
"DX_OTHER_STARTED_DAYS","Other Treatment, Days from Dx","long",361,368,0,0,,,,,,
"RX_SUMM_OTHER","Other Treatment at any CoC Facility","byte",369,369,0,0,,,,,,
"PALLIATIVE_CARE","Palliative Care","byte",370,370,0,0,,,,,,
"RX_SUMM_TREATMENT_STATUS","Received Treatment or Active Surveillance","byte",371,371,0,0,,,,,,
"PUF_30_DAY_MORT_CD","30 Day Mortality","byte",372,372,0,0,,,,,,
"PUF_90_DAY_MORT_CD","90 Day Mortality","byte",373,373,0,0,,,,,,
"DX_LASTCONTACT_DEATH_MONTHS","Last Contact or Death, Months from Dx","float",374,381,0,0,,,,"TRUE","TRUE",
"PUF_VITAL_STATUS","Vital Status","byte",382,382,0,0,,,,"TRUE",,
"RX_HOSP_SURG_PRIM_SITE","Surgery of Primary Site at this Facility","byte",383,384,0,0,,,,,,
"RX_HOSP_CHEMO","Chemotherapy at this Facility","byte",385,386,0,0,,,,,,
"RX_HOSP_IMMUNOTHERAPY","Immunotherapy at this Facility","byte",387,388,0,0,,,,,,
"RX_HOSP_HORMONE","Hormone Rx at this Facility","byte",389,390,0,0,,,,,,
"RX_HOSP_OTHER","Other Rx at this Facility","byte",391,392,0,0,,,,,,
"PUF_MULT_SOURCE","Patient Treated in > 1 CoC Facility?","byte",393,393,0,0,,,,,,
"REFERENCE_DATE_FLAG","Reference Date Flag","byte",394,394,0,0,,,,,,
"RX_SUMM_SCOPE_REG_LN_2012","Regional Lymph Node Surgery at any CoC Facility","byte",395,395,0,0,,,,,,
"RX_HOSP_DXSTG_PROC","Diagnostic and Staging Procedure at this Facility","byte",396,397,0,0,,,,,,
"PALLIATIVE_CARE_HOSP","Palliative Care at this Facility","byte",398,398,0,0,,,,,,
"a_hsp",,,,,,0,"Condensed version of SPANISH_HISPANIC_ORIGIN NCDB variable","TRUE",,,,
"a_path_t",,,,,,0,"Condensed version of TNM_PATH_T, with the sub-stages A/B/C removed and Ts inserted","TRUE",,,,
"a_race",,,,,,0,"Condensed version of the RACE variable, with sparsely populated groups binned in Other.","TRUE",,,,
"a_eth",,,,,,0,"Merging of a_hsp and a_race","TRUE",,,,
"a_clin_t",,,,,,0,"Condensed version of TNM_CLIN_T, with the sub-stages A/B/C removed and Ts inserted","TRUE",,,,
