"code","relabel","label","varname","var_rename"
21,,"21: Chest wall/Lymph nodes","RAD_TREAT_VOL",
22,,"22: Mantle, Mini-mantle","RAD_TREAT_VOL",
23,,"23: Lower extended field","RAD_TREAT_VOL",
24,,"24: Spine","RAD_TREAT_VOL",
25,,"25: Skull","RAD_TREAT_VOL",
26,,"26: Ribs","RAD_TREAT_VOL",
27,,"27: Hip","RAD_TREAT_VOL",
28,,"28: Pelvic bones","RAD_TREAT_VOL",
29,,"29: Pelvis (NOS)","RAD_TREAT_VOL",
30,,"30: Skin","RAD_TREAT_VOL",
31,,"31: Soft tissue","RAD_TREAT_VOL",
32,,"32: Hemibody","RAD_TREAT_VOL",
33,,"33: Whole body","RAD_TREAT_VOL",
34,,"34: Bladder and pelvis","RAD_TREAT_VOL",
35,,"35: Prostate and pelvis","RAD_TREAT_VOL",
36,,"36: Uterus and cervix","RAD_TREAT_VOL",
37,,"37: Shoulder","RAD_TREAT_VOL",
38,,"38: Extremity bone, NOS","RAD_TREAT_VOL",
39,,"39: Inverted Y","RAD_TREAT_VOL",
40,,"40: Spinal cord","RAD_TREAT_VOL",
41,,"41: Prostate","RAD_TREAT_VOL",
50,,"50: Thyroid","RAD_TREAT_VOL",
60,,"60: Lymph node region, NOS","RAD_TREAT_VOL",
98,,"98: Other","RAD_TREAT_VOL",
99,,"99: Unknown","RAD_TREAT_VOL",
0,,"0: No radiation treatment","RAD_REGIONAL_RX_MODALITY",
20,,"20: External beam, NOS","RAD_REGIONAL_RX_MODALITY",
21,,"21: Orthovoltage","RAD_REGIONAL_RX_MODALITY",
22,,"22: Cobalt-60, Cesium-137","RAD_REGIONAL_RX_MODALITY",
23,,"23: Photons (2-5 MV)","RAD_REGIONAL_RX_MODALITY",
24,,"24: Photons (6-10 MV)","RAD_REGIONAL_RX_MODALITY",
25,,"25: Photons (11-19 MV)","RAD_REGIONAL_RX_MODALITY",
26,,"26: Photons (>19 MV)","RAD_REGIONAL_RX_MODALITY",
27,,"27: Photons (mixed energies)","RAD_REGIONAL_RX_MODALITY",
28,,"28: Electrons","RAD_REGIONAL_RX_MODALITY",
29,,"29: Photons and electrons mixed","RAD_REGIONAL_RX_MODALITY",
30,,"30: Neutrons, with or without photons/electrons","RAD_REGIONAL_RX_MODALITY",
31,,"31: IMRT","RAD_REGIONAL_RX_MODALITY",
32,,"32: Conformal or 3-D therapy","RAD_REGIONAL_RX_MODALITY",
40,,"40: Protons","RAD_REGIONAL_RX_MODALITY",
41,,"41: Stereotactic radiosurgery, NOS","RAD_REGIONAL_RX_MODALITY",
42,,"42: Linac radiosurgery","RAD_REGIONAL_RX_MODALITY",
43,,"43: Gamma Knife","RAD_REGIONAL_RX_MODALITY",
50,,"50: Brachytherapy, NOS","RAD_REGIONAL_RX_MODALITY",
51,,"51: Brachytherapy, Intracavitary, LDR","RAD_REGIONAL_RX_MODALITY",
52,,"52: Brachytherapy, Intracavitary, HDR","RAD_REGIONAL_RX_MODALITY",
53,,"53: Brachytherapy, Interstitial, LDR","RAD_REGIONAL_RX_MODALITY",
54,,"54: Brachytherapy, Interstitial, HDR","RAD_REGIONAL_RX_MODALITY",
55,,"55: Radium","RAD_REGIONAL_RX_MODALITY",
60,,"60: Radioisotopes, NOS","RAD_REGIONAL_RX_MODALITY",
61,,"61: Strontium-89","RAD_REGIONAL_RX_MODALITY",
62,,"62: Strontium-90","RAD_REGIONAL_RX_MODALITY",
80,,"80: Combination modality, specified","RAD_REGIONAL_RX_MODALITY",
85,,"85: Combination modality, NOS","RAD_REGIONAL_RX_MODALITY",
98,,"98: Other, NOS","RAD_REGIONAL_RX_MODALITY",
99,,"99: Unknown","RAD_REGIONAL_RX_MODALITY",
0,,"0: No radiation treatment","RAD_BOOST_RX_MODALITY",
20,,"20: External beam, NOS","RAD_BOOST_RX_MODALITY",
21,,"21: Orthovoltage","RAD_BOOST_RX_MODALITY",
22,,"22: Cobalt-60, Cesium-137","RAD_BOOST_RX_MODALITY",
23,,"23: Photons (2-5 MV)","RAD_BOOST_RX_MODALITY",
24,,"24: Photons (6-10 MV)","RAD_BOOST_RX_MODALITY",
25,,"25: Photons (11-19 MV)","RAD_BOOST_RX_MODALITY",
26,,"26: Photons (>19 MV)","RAD_BOOST_RX_MODALITY",
27,,"27: Photons (mixed energies)","RAD_BOOST_RX_MODALITY",
28,,"28: Electrons","RAD_BOOST_RX_MODALITY",
29,,"29: Photons and electrons mixed","RAD_BOOST_RX_MODALITY",
30,,"30: Neutrons, with or without photons/electrons","RAD_BOOST_RX_MODALITY",
31,,"31: IMRT","RAD_BOOST_RX_MODALITY",
32,,"32: Conformal or 3-D therapy","RAD_BOOST_RX_MODALITY",
40,,"40: Protons","RAD_BOOST_RX_MODALITY",
41,,"41: Stereotactic radiosurgery, NOS","RAD_BOOST_RX_MODALITY",
42,,"42: Linac radiosurgery","RAD_BOOST_RX_MODALITY",
43,,"43: Gamma Knife","RAD_BOOST_RX_MODALITY",
50,,"50: Brachytherapy, NOS","RAD_BOOST_RX_MODALITY",
51,,"51: Brachytherapy, Intracavitary, LDR","RAD_BOOST_RX_MODALITY",
52,,"52: Brachytherapy, Intracavitary, HDR","RAD_BOOST_RX_MODALITY",
53,,"53: Brachytherapy, Interstitial, LDR","RAD_BOOST_RX_MODALITY",
54,,"54: Brachytherapy, Interstitial, HDR","RAD_BOOST_RX_MODALITY",
55,,"55: Radium","RAD_BOOST_RX_MODALITY",
60,,"60: Radioisotopes, NOS","RAD_BOOST_RX_MODALITY",
61,,"61: Strontium-89","RAD_BOOST_RX_MODALITY",
62,,"62: Strontium-90","RAD_BOOST_RX_MODALITY",
98,,"98: Other, NOS","RAD_BOOST_RX_MODALITY",
99,,"99: Unknown","RAD_BOOST_RX_MODALITY",
0,,"Not administered","RAD_BOOST_DOSE_CGY",
88888,,"Not applicable","RAD_BOOST_DOSE_CGY",
99999,,"Unknown","RAD_BOOST_DOSE_CGY",
0,,"0: No radiation therapy and/or surgical procedures","RX_SUMM_SURGRAD_SEQ",
2,,"2: Radiation therapy before surgery","RX_SUMM_SURGRAD_SEQ",
3,,"3: Radiation therapy after surgery","RX_SUMM_SURGRAD_SEQ",
4,,"4: Radiation therapy both before and after surgery","RX_SUMM_SURGRAD_SEQ",
5,,"5: Intraoperative radiation therapy","RX_SUMM_SURGRAD_SEQ",
6,,"6: Intraoperative radiation therapy with other therapy administered before or after surgery","RX_SUMM_SURGRAD_SEQ",
9,,"9: Sequence unknown","RX_SUMM_SURGRAD_SEQ",
0,,"0: Radiation therapy was administered","REASON_FOR_NO_RADIATION",
1,,"1: Radiation was not part of the planned first course treatment","REASON_FOR_NO_RADIATION",
2,,"2: Radiation contraindicated due to other patient risk factors","REASON_FOR_NO_RADIATION",
5,,"5: Patient died prior to planned or recommended therapy","REASON_FOR_NO_RADIATION",
6,,"6: Radiation recommended but not administered, no reason was noted","REASON_FOR_NO_RADIATION",
7,,"7: Radiation recommended but refused by the patient, patient's family member or guardian","REASON_FOR_NO_RADIATION",
8,,"8: Radiation recommended, unknown whether administered","REASON_FOR_NO_RADIATION",
9,,"9: Unknown if recommended or administered","REASON_FOR_NO_RADIATION",
0,,"0: None","RX_SUMM_CHEMO",
1,,"1: Chemotherapy administered, type and number of agents not documented","RX_SUMM_CHEMO",
2,,"2: Single-agent chemotherapy","RX_SUMM_CHEMO",
3,,"3: Multiagent chemotherapy","RX_SUMM_CHEMO",
82,,"82: Chemotherapy not recommended/administered, contraindicated due to patient risk factors","RX_SUMM_CHEMO",
85,,"85: Chemotherapy not administered, patient died prior to planned or recommended therapy","RX_SUMM_CHEMO",
86,,"86: Chemotherapy not administered, was recommended, not administered Reason unknown","RX_SUMM_CHEMO",
87,,"87: Chemotherapy not administered, recommended, but refused by patient, patient's family member or guardian","RX_SUMM_CHEMO",
88,,"88: Chemotherapy recommended, unknown if administered","RX_SUMM_CHEMO",
99,,"99: Unknown if recommended or administered","RX_SUMM_CHEMO",
0,,"0: None","RX_HOSP_CHEMO",
1,,"1: Chemotherapy administered, type and number of agents not documented","RX_HOSP_CHEMO",
2,,"2: Single-agent chemotherapy","RX_HOSP_CHEMO",
3,,"3: Multiagent chemotherapy","RX_HOSP_CHEMO",
82,,"82: Chemotherapy not recommended/administered, contraindicated due to patient risk factors","RX_HOSP_CHEMO",
85,,"85: Chemotherapy not administered, patient died prior to planned or recommended therapy","RX_HOSP_CHEMO",
86,,"86: Chemotherapy not administered, was recommended, not administered Reason unknown","RX_HOSP_CHEMO",
87,,"87: Chemotherapy not administered, recommended, but refused by patient, patient's family member or guardian","RX_HOSP_CHEMO",
88,,"88: Chemotherapy recommended, unknown if administered","RX_HOSP_CHEMO",
99,,"99: Unknown if recommended or administered","RX_HOSP_CHEMO",
0,,"0: None","RX_SUMM_HORMONE",
1,,"1: Hormone therapy administered as first course therapy","RX_SUMM_HORMONE",
82,,"82: Not recommended/administered, contraindicated due to patient risk factors","RX_SUMM_HORMONE",
85,,"85: Hormone therapy not administered, patient died prior to planned or recommended therapy","RX_SUMM_HORMONE",
86,,"86: Recommended but not administered, no reason stated","RX_SUMM_HORMONE",
87,,"87: Recommended, not administered, refused by patient, patient's family member or guardian","RX_SUMM_HORMONE",
88,,"88: Hormone therapy recommended, unknown if administered","RX_SUMM_HORMONE",
99,,"99: Unknown if recommended or administered","RX_SUMM_HORMONE",
0,,"0: None","RX_HOSP_HORMONE",
1,,"1: Hormone therapy administered as first course therapy","RX_HOSP_HORMONE",
82,,"82: Not recommended/administered, contraindicated due to patient risk factors","RX_HOSP_HORMONE",
85,,"85: Hormone therapy not administered, patient died prior to planned or recommended therapy","RX_HOSP_HORMONE",
86,,"86: Recommended but not administered, no reason stated","RX_HOSP_HORMONE",
87,,"87: Recommended, not administered, refused by patient, patient's family member or guardian","RX_HOSP_HORMONE",
88,,"88: Hormone therapy recommended, unknown if administered","RX_HOSP_HORMONE",
99,,"99: Unknown if recommended or administered","RX_HOSP_HORMONE",
0,,"0: None","RX_SUMM_IMMUNOTHERAPY",
1,,"1: Immunotherapy administered as first course therapy","RX_SUMM_IMMUNOTHERAPY",
82,,"82: Not recommended/administered, contraindicated due to patient risk factors","RX_SUMM_IMMUNOTHERAPY",
85,,"85: Not administered because the patient died prior to planned or recommended therapy","RX_SUMM_IMMUNOTHERAPY",
86,,"86: Recommended, not administered, No reason given","RX_SUMM_IMMUNOTHERAPY",
87,,"87: Recommended, not administered, refused by the patient, patient's family member or guardian","RX_SUMM_IMMUNOTHERAPY",
88,,"88: Immunotherapy recommended, unknown if administered","RX_SUMM_IMMUNOTHERAPY",
99,,"99: Unknown","RX_SUMM_IMMUNOTHERAPY",
